datetime,Uwind_meterPerSecond,Vwind_meterPerSecond,Surface_Level_Barometric_Pressure_pascal,Air_Temperature_celsius,Max_Air_Temperature_celsius,Min_Air_Temperature_celsius,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Longwave_Radiation_Downwelling_wattPerMeterSquared,Relative_Humidity_percent,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Cloud_Cover_decimalFraction,Precipitation_meterPerSecond,Snowfall_meterPerDay
2008-01-01 00:00:00,-2.68759036064148,8.7010612487793,99564.640625,7.89370117187502,10.2322937011719,5.95754394531252,12.2103576660156,310.744049072266,87.8796539306641,6.11624240875244,0,1.41087384690763e-08,0
2008-01-02 00:00:00,-8.54368019104004,7.8114275932312,98649.2265625,5.55104980468752,7.11666259765627,3.34591064453127,20.243501663208,301.584869384766,74.7736282348633,7.486159324646,0,0,0
2008-01-03 00:00:00,-10.5001039505005,1.66472148895264,98204.5078125,1.30220947265627,3.91872558593752,-2.5576232910156,27.4153442382812,262.187683105469,68.9520874023438,6.86003923416138,0,0,0
2008-01-04 00:00:00,2.98352193832397,5.76114368438721,97299.703125,1.5350280761719,8.32924804687502,-6.59555664062498,13.8785600662231,278.299926757812,83.4719009399414,6.18350076675415,0,1.60206051077694e-07,0.000449514682986774
2008-01-05 00:00:00,14.3679714202881,0.0674745440483093,97504.0234375,4.41158447265627,5.56746826171877,3.4824157714844,29.7158374786377,279.578216552734,81.7251205444336,8.58806991577148,0,4.19424141000491e-08,0
2008-01-06 00:00:00,3.94399738311768,2.78420209884644,98290.109375,3.2066589355469,5.6752868652344,1.01784667968752,31.3697471618652,275.567474365234,83.3803939819336,4.88338804244995,0,7.82689239713363e-08,0
2008-01-07 00:00:00,12.4105825424194,2.5108757019043,98619.671875,4.53554687500002,5.87984619140627,2.6896911621094,30.0534534454346,278.834136962891,77.9265289306641,8.48705768585205,0,3.24900574923959e-08,0
2008-01-08 00:00:00,7.29204940795898,6.55610322952271,97920.7109375,4.30178222656252,8.52932128906252,1.27297363281252,20.798921585083,290.024353027344,87.5304718017578,7.98845291137695,0,2.09392295801081e-07,0
2008-01-09 00:00:00,9.22060871124268,3.19062399864197,97990.453125,4.0640808105469,9.43929443359377,0.473901367187523,31.4422225952148,283.382293701172,77.0793838500977,7.48471927642822,0,1.37377603095956e-07,0
2008-01-10 00:00:00,7.56356954574585,2.50600695610046,97437.96875,5.20855102539065,8.34182128906252,2.0375915527344,30.7580890655518,292.168243408203,85.4453659057617,4.63945579528809,0,1.1269449169049e-07,0
2008-01-11 00:00:00,4.92349529266357,-0.772653996944427,97891.4609375,2.4813171386719,3.94594726562502,1.25869140625002,37.0678977966309,268.622314453125,78.8722839355469,2.7999529838562,0,0,0
2008-01-12 00:00:00,1.18914198875427,4.21634435653687,98075.359375,4.9534851074219,11.3590942382813,1.7347351074219,14.030647277832,293.592010498047,86.68505859375,5.12506818771362,0,2.04786701942794e-07,0
2008-01-13 00:00:00,2.52471899986267,9.23050594329834,96817.375,7.07952270507815,10.3440185546875,4.5891052246094,26.8000793457031,296.9541015625,89.422233581543,5.9666895866394,0,1.28116880659945e-07,0
2008-01-14 00:00:00,7.24725151062012,1.24403047561646,96778.125,6.00167236328127,6.89870605468752,4.69524536132815,20.7794895172119,295.948394775391,89.8260345458984,6.5686182975769,0,6.25646716798656e-08,0
2008-01-15 00:00:00,2.34686708450317,3.24066162109375,95990.546875,5.33562622070315,6.70931396484377,4.3878112792969,16.7306098937988,300.432830810547,92.9314804077148,4.14911413192749,0,1.18732823466416e-07,0
2008-01-16 00:00:00,0.64920961856842,-1.26517152786255,97210.3125,4.38472900390627,6.68972167968752,2.2174011230469,32.7317771911621,285.939880371094,85.2775192260742,3.3266270160675,0,2.60297729255399e-08,0
2008-01-17 00:00:00,9.87178516387939,3.9081654548645,97476.609375,6.70000610351565,8.66008911132815,3.94484863281252,31.9618339538574,286.069091796875,81.5498504638672,8.44399833679199,0,8.05725212558173e-08,0
2008-01-18 00:00:00,9.27231884002686,6.13979911804199,98177.234375,9.04427490234377,11.9237915039063,3.73421630859377,6.57496118545532,319.30615234375,90.8375625610352,8.28947448730469,0,3.08726535877213e-07,0
2008-01-19 00:00:00,2.38228750228882,0.0909025296568871,99326.9375,7.97829589843752,10.8864074707031,6.33455810546877,12.6166591644287,306.079681396484,93.9619140625,3.64058756828308,0,1.77174762939103e-07,0
2008-01-20 00:00:00,1.94170343875885,-0.276713997125626,99638.6796875,9.08864746093752,10.8388610839844,7.35469970703127,9.27691173553467,326.417724609375,97.3297271728516,4.05825138092041,0,1.33819456095807e-07,0
2008-01-21 00:00:00,3.39838480949402,0.796006977558136,98984.84375,8.02596435546877,10.7240844726563,4.13982543945315,28.6915607452393,309.068328857422,93.3992233276367,6.43433475494385,0,2.59073101915419e-07,0
2008-01-22 00:00:00,4.84885025024414,6.04493045806885,99727.6875,7.93068847656252,10.48330078125,3.2552429199219,7.87937879562378,318.814239501953,94.1208724975586,5.07631540298462,0,1.12473273475189e-07,0
2008-01-23 00:00:00,8.15081787109375,7.27306652069092,99532.4765625,9.25631103515627,11.4291320800781,4.64052734375002,9.94481945037842,317.406646728516,93.4688568115234,7.88031101226807,0,1.11943852971308e-07,0
2008-01-24 00:00:00,12.4910688400269,3.94099354743958,100449.640625,4.99154052734377,9.94536743164065,1.71932373046877,47.8910102844238,274.588134765625,70.548469543457,8.05232334136963,0,2.03954750759294e-08,0
