year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,par_id,model
2010,15.8758,182,2.57432,364,15.143,234,2.8318,364,37,14.3333333333333,43,171,208,150,225,p0008,Simstrat
2011,12.9232,233,0.0452318,67,12.813,236,0.23487,56,8,8,8,174,182,174,182,p0008,Simstrat
2012,12.56,286,0.050072,20,12.498,288,0.86304,11,NA,NA,NA,NA,NA,NA,NA,p0008,Simstrat
2013,17.2344,221,5.97146,32,16.074,238,5.9951,33,16,10,50,175,191,143,234,p0008,Simstrat
2014,19.3372,208,4.33696,93,15.829,248,4.3403,95,58,27,81,187,245,153,245,p0008,Simstrat
2015,18.9166,205,4.7743,42,15.28,238,4.9193,47,85,45.5,91,146,231,118,231,p0008,Simstrat
2009,6.21562,364,6.21562,364,6.426,364,6.426,364,NA,NA,NA,NA,NA,NA,NA,p0009,Simstrat
2010,20.6462,179,3.09466,364,17.855,233,3.3483,364,60,11.6666666666667,70,148,208,110,225,p0009,Simstrat
2011,16.8506,179,0.146691,356,15.936,201,0.8924,56,47,12.5,50,139,186,139,227,p0009,Simstrat
2012,16.1964,193,0.82089,22,15.217,221,1.4822,11,19,4.77777777777778,43,178,197,110,207,p0009,Simstrat
2013,21.0894,221,6.26408,32,18.613,238,6.2866,33,17,6.7,67,141,158,141,234,p0009,Simstrat
2014,24.2962,198,5.62582,54,18.647,245,5.6916,90,56,23,92,187,243,138,271,p0009,Simstrat
2015,22.9752,205,5.19214,42,18.162,235,5.363,46,85,12.1111111111111,109,145,230,108,261,p0009,Simstrat
2009,6.21562,364,6.21562,364,6.426,364,6.426,364,NA,NA,NA,NA,NA,NA,NA,p0010,Simstrat
2010,19.9262,179,3.02848,364,17.298,234,3.2883,364,64,18.25,73,148,212,110,225,p0010,Simstrat
2011,16.0624,179,0.231344,356,15.358,236,0.67871,56,48,12.75,51,139,187,139,227,p0010,Simstrat
2012,15.5866,193,0.606688,22,14.616,222,1.3607,31,20,5.71428571428571,40,177,197,115,208,p0010,Simstrat
2013,20.4788,221,6.2391,32,18.133,238,6.2628,33,24,9.5,76,141,165,141,236,p0010,Simstrat
2014,23.6992,199,5.43992,90,17.805,248,5.5339,93,61,24.75,99,185,246,138,271,p0010,Simstrat
2015,22.4824,205,5.11624,42,17.23,238,5.3098,47,91,14.125,113,145,236,108,261,p0010,Simstrat
2009,6.21562,364,6.21562,364,6.426,364,6.426,364,NA,NA,NA,NA,NA,NA,NA,p0011,Simstrat
2010,21.8022,179,3.24576,364,17.647,235,3.5176,364,78,16.3333333333333,98,138,216,108,233,p0011,Simstrat
2011,17.8048,179,0.053006,356,16.064,236,0.93151,56,55,12,60,138,193,138,227,p0011,Simstrat
2012,17.022,193,0.756158,22,15.362,223,1.5337,31,34,6.3,63,163,197,106,234,p0011,Simstrat
2013,21.8862,221,6.38918,32,18.673,241,6.4161,33,74,25.5,102,139,213,86,239,p0011,Simstrat
2014,25.4408,198,5.90366,90,17.423,256,5.9092,90,104,22,110,148,252,138,271,p0011,Simstrat
2015,23.866,205,5.3116,42,17.421,273,5.5267,46,96,23.6666666666667,142,145,241,107,265,p0011,Simstrat
2009,6.21562,364,6.21562,364,6.426,364,6.426,364,NA,NA,NA,NA,NA,NA,NA,p0012,Simstrat
2010,17.5732,179,2.77034,364,14.632,244,3.0638,364,92,48,96,147,239,141,239,p0012,Simstrat
2011,13.3558,233,0.01260172,41,13.106,237,0.44268,58,42,11.75,47,151,193,141,201,p0012,Simstrat
2012,12.9318,194,0.0635422,20,12.734,289,1.0039,32,20,7.33333333333333,22,177,197,171,207,p0012,Simstrat
2013,18.5652,221,6.17162,32,15.858,253,6.2069,34,107,107,107,141,248,141,248,p0012,Simstrat
2014,21.564,200,4.84858,93,14.628,282,4.8592,95,109,57.5,115,150,259,150,272,p0012,Simstrat
2015,20.5802,205,5.01648,42,14.433,278,5.1667,47,131,38.25,153,145,276,113,276,p0012,Simstrat
2009,6.21562,364,6.21562,364,6.426,364,6.426,364,NA,NA,NA,NA,NA,NA,NA,p0013,Simstrat
2010,15.2946,182,2.49816,364,14.519,235,2.7651,364,41,12.25,49,171,212,150,231,p0013,Simstrat
2011,12.2514,233,-0.00524892,43,12.166,236,0.25314,61,8,8,8,175,183,175,183,p0013,Simstrat
2012,12.2752,286,0.0597536,22,12.176,288,0.83925,32,NA,NA,NA,NA,NA,NA,NA,p0013,Simstrat
