year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,par_id,model
2012,23.421,190,0,4,16.51,258,0.014551,4,135,135,135,123,258,123,258,p0013,FLake
2013,23.563,215,0,0,17.914,261,1.9494,0,132,132,132,129,261,129,261,p0013,FLake
2014,26.388,209,0,20,21.519,231,0,360,46,22,88,185,231,115,231,p0013,FLake
2015,22.764,185,0,0,22.642,236,0.11278,0,38,10,40,173,211,173,227,p0013,FLake
2011,20.691,217,0.60107,364,18.836,223,0.60107,364,45,19.6666666666667,59,178,223,138,223,p0014,FLake
2012,19.964,218,0,1,19.331,230,0.41525,1,36,16.3333333333333,49,187,223,143,223,p0014,FLake
2013,20.504,218,0,0,13.793,266,1.7024,0,138,138,138,128,266,128,266,p0014,FLake
2014,23.526,216,0,18,18.198,233,0.01489,360,48,22.6666666666667,68,185,233,142,233,p0014,FLake
2015,19.974,236,0,0,16.965,247,0.11499,0,74,74,74,173,247,173,247,p0014,FLake
2011,24.015,182,0.88436,364,15.996,259,0.88436,364,NA,NA,NA,NA,NA,NA,NA,p0015,FLake
2012,23.416,190,0,4,13.832,267,0.011009,4,151,151,151,116,267,116,267,p0015,FLake
2013,23.453,215,0,0,17.651,262,2.088,0,133,133,133,129,262,129,262,p0015,FLake
2014,26.399,209,0,16,19.09,238,1.4805,360,100,53,106,138,238,116,238,p0015,FLake
2015,22.889,236,0,0,20.728,243,1.7045,0,69,34.5,69,173,242,164,242,p0015,FLake
2011,21.992,216,0.70435,364,20.367,222,0.70435,364,45,23,46,177,222,162,222,p0016,FLake
2012,21.496,210,0,3,18.747,239,0.51324,2,76,41,82,163,239,144,239,p0016,FLake
2013,21.933,215,0,0,16.2,263,1.7997,0,135,135,135,128,263,128,263,p0016,FLake
2014,24.836,216,0,19,17.744,238,0.009986,360,99,99,99,139,238,139,238,p0016,FLake
2015,21.32,236,0,0,18.782,244,0.11486,0,72,72,72,172,244,172,244,p0016,FLake
2011,19.152,203,0.39529,364,13.467,257,0.39529,364,104,104,104,153,257,153,257,p0017,FLake
2012,17.352,218,0,0,15.878,239,0.19738,0,51,51,51,188,239,188,239,p0017,FLake
2013,18.052,219,0,0,11.113,268,1.4822,0,124,124,124,144,268,144,268,p0017,FLake
2014,20.641,217,0,16,14.57,239,0.0022274,359,50,19.3333333333333,58,189,239,143,239,p0017,FLake
2015,16.992,236,0,0,14.725,249,0.11788,0,67,67,67,182,249,182,249,p0017,FLake
2011,23.866,182,0.84661,364,16.004,258,0.84661,364,NA,NA,NA,NA,NA,NA,NA,p0018,FLake
2012,22.882,210,0,1,20.591,236,0.663159999999999,1,73,26.3333333333333,79,163,236,145,236,p0018,FLake
2013,23.282,215,0,0,17.661,261,2.0109,0,132,132,132,129,261,129,261,p0018,FLake
2014,26.175,209,0,16,18.885,238,1.2344,360,100,52.5,105,138,238,116,238,p0018,FLake
2015,22.684,236,0,0,20.553,243,1.5024,0,69,34.5,69,173,242,164,242,p0018,FLake
2011,19.601,217,0.52687,364,19.601,217,0.52687,364,13,5.5,22,157,170,138,194,p0019,FLake
2012,19.087,218,0,1,18.536,231,0.32948,0,35,20,40,188,223,165,223,p0019,FLake
2013,19.987,218,0,0,12.63,267,1.62,0,136,136,136,131,267,131,267,p0019,FLake
2014,22.924,216,0,16,13.5,265,0.020416,360,126,126,126,139,265,139,265,p0019,FLake
2015,19.128,236,0,0,15.886,249,0.11664,0,75,75,75,174,249,174,249,p0019,FLake
2011,22.325,216,0,360,10.138,289,3.8228,344,151,151,151,138,289,138,289,p0020,FLake
2012,21.094,211,0,0,9.056,297,3.8143,343,174,174,174,123,297,123,297,p0020,FLake
2013,20.829,219,0,0,9.8216,292,3.4174,342,160,160,160,132,292,132,292,p0020,FLake
2014,23.267,217,0,0,9.6461,296,3.47200000000001,0,179,179,179,117,296,117,296,p0020,FLake
2015,20.293,236,0,0,12.187,281,2.91460000000001,87,154,154,154,127,281,127,281,p0020,FLake
2011,23.348,182,0.88537,364,12.905,280,0.88537,364,NA,NA,NA,NA,NA,NA,NA,p0021,FLake
2012,22.847,190,0,3,11.987,279,0.690060000000001,3,156,156,156,118,274,118,274,p0021,FLake
2013,22.764,215,0,0,15.55,266,1.8679,92,137,137,137,129,266,129,266,p0021,FLake
2014,25.692,209,0,19,17.488,261,1.4333,19,123,65.5,131,138,261,116,261,p0021,FLake
2015,22.259,236,0,0,19.574,244,1.9424,58,71,71,71,173,244,173,244,p0021,FLake
2011,19.314,203,0.46961,364,13.359,258,0.46961,364,104,104,104,154,258,154,258,p0022,FLake
2012,17.838,211,0,1,15.929,242,0.27288,1,52,52,52,188,240,188,240,p0022,FLake
2013,18.899,218,0,0,8.707,288,1.5644,0,139,72.5,145,137,276,137,284,p0022,FLake
2014,21.373,217,0,16,13.271,264,1.0778,359,106,55.5,111,158,264,142,264,p0022,FLake
2015,17.128,236,0,0,17.128,236,1.0515,55,NA,NA,NA,NA,NA,NA,NA,p0022,FLake
2011,20.542,217,0,359,8.2977,294,3.395,342,152,152,152,142,294,142,294,p0023,FLake
2012,19.184,218,0,0,8.4594,297,3.4107,338,166,166,166,130,296,130,296,p0023,FLake
2013,18.788,232,0,0,10.209,288,3.0475,351,144,144,144,144,288,144,288,p0023,FLake
2014,21.342,221,0,0,11.659,279,3.0932,0,137,137,137,142,279,142,279,p0023,FLake
2015,18.404,236,0,0,18.404,236,3.5256,354,NA,NA,NA,NA,NA,NA,NA,p0023,FLake
2011,25.041,216,0,362,11.866,286,3.1715,362,NA,NA,NA,NA,NA,NA,NA,p0024,FLake
2012,24.439,190,0,0,11.822,284,3.1821,0,169,169,169,115,284,115,284,p0024,FLake
2013,24.445,217,0,0,15.795,268,2.8648,364,147,147,147,121,268,121,268,p0024,FLake
2014,27.237,209,0,13,24.017,230,2.6594,69,42,8.14285714285714,57,188,230,116,230,p0024,FLake
2015,24.256,185,0,0,16.133,271,2.72,57,154,154,154,117,271,117,271,p0024,FLake
