year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,par_id,model
2011,21.117,217,0.021015,364,20.309,219,0.25758,364,41,11.6,58,177,218,150,238,p0001,Simstrat
2012,20.818,229,0.0043101,7,19.738,232,0.011432,5,12,5.3,53,185,197,141,232,p0001,Simstrat
2013,22.719,208,0.43469,0,19.333,223,0.7006,0,17,6.9,69,137,154,128,223,p0001,Simstrat
2014,22.614,208,0.030096,361,19.868,231,0.14908,364,52,14.6,73,176,228,137,254,p0001,Simstrat
2015,20.173,218,0.038963,0,18.847,239,0.14446,1,24,10.6,53,215,239,162,239,p0001,Simstrat
2011,19.136,210,0.029678,364,19.08,210,0.087464,364,5,2.6,13,178,183,158,238,p0002,Simstrat
2012,18.604,229,-0.0077124,3,18.207,211,0.0060557,4,2,1.33333333333333,4,189,191,164,230,p0002,Simstrat
2013,20.49,209,0.021858,16,17.637,223,0.040743,17,7,2.5,10,205,212,175,222,p0002,Simstrat
2014,20.008,217,0.0052567,358,19.892,218,0.017968,359,8,3,15,203,211,185,211,p0002,Simstrat
2015,17.421,222,0.010662,0,17.098,223,0.022041,0,1,1,3,185,186,185,201,p0002,Simstrat
2011,17.442,210,0.028792,364,17.348,211,0.072891,364,3,2.33333333333333,7,180,183,180,204,p0003,Simstrat
2012,16.708,230,0.0035181,7,16.526,232,0.0090631,8,4,2.5,5,188,192,164,192,p0003,Simstrat
2013,18.171,210,0.076894,26,15.798,223,0.13612,27,8,4.5,9,205,213,205,222,p0003,Simstrat
2014,17.732,219,0.0078134,364,17.489,222,0.021796,364,9,6.5,13,203,212,188,212,p0003,Simstrat
2015,15.796,218,0.0089819,0,15.271,224,0.020454,1,1,1,1,218,219,218,219,p0003,Simstrat
2011,25.673,216,0.07998,364,15.58,276,1.1197,364,136,136,136,136,272,136,272,p0004,Simstrat
2012,24.626,211,0.060033,7,14.416,279,0.70932,43,162,162,162,114,276,114,276,p0004,Simstrat
2013,25.413,208,0.40249,0,13.588,279,1.153,357,156,156,156,120,276,120,276,p0004,Simstrat
2014,26.794,208,0.081809,359,12.668,284,1.2652,1,172,172,172,110,282,110,282,p0004,Simstrat
2015,23.824,185,0.16997,0,14.409,280,1.493,362,164,82.5,165,113,277,111,277,p0004,Simstrat
2011,16.897,216,0.030887,364,16.769,211,0.11975,364,4,2.2,11,180,184,180,238,p0005,Simstrat
2012,16.131,229,-0.0069355,3,15.973,232,0.0099738,8,8,8,8,187,195,187,195,p0005,Simstrat
2013,17.525,210,0.24372,29,15.192,233,0.40077,27,10,10,10,205,215,205,215,p0005,Simstrat
2014,16.9,225,-0.0013477,358,16.583,223,0.033791,364,10,5.4,27,202,212,157,220,p0005,Simstrat
2015,15.51,218,0.010077,0,14.703,224,0.031766,1,2,1.33333333333333,4,218,220,186,243,p0005,Simstrat
2011,27.585,216,0.025921,364,14.445,285,1.5884,364,145,73,146,136,281,136,283,p0006,Simstrat
2012,26.341,211,0.075894,4,12.181,294,1.3096,58,185,185,185,105,290,105,290,p0006,Simstrat
2013,27.215,208,0.50557,0,11.263,296,1.379,357,178,89.5,179,114,292,110,292,p0006,Simstrat
