year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,par_id,model
2011,24.25,191,1.3287,364,18.178,250,1.3287,364,NA,NA,NA,NA,NA,NA,NA,p0013,FLake
2012,22.502,210,0,9,20.964,230,0.018901,346,67,37.5,75,159,226,145,226,p0013,FLake
2013,22.356,189,0,0,22.356,189,0.32543,0,1,0.4,2,175,176,158,207,p0013,FLake
2014,25.912,209,0,17,24.862,218,0.014283,17,34,7.66666666666667,46,140,174,119,213,p0013,FLake
2015,21.606,185,0,0,21.606,185,0.0041199,46,1,0.333333333333333,1,195,196,163,196,p0013,FLake
2011,21.2,189,1.1708,364,16.241,250,1.1708,364,114,114,114,136,250,136,250,p0014,FLake
2012,19.828,211,0,8,16.604,242,0.013441,344,80,42,84,160,240,146,240,p0014,FLake
2013,19.453,218,0,0,19.453,218,0.34967,0,5,5,5,207,212,207,212,p0014,FLake
2014,22.194,217,0,16,22.194,217,0.0091932,359,9,4.5,9,141,150,141,163,p0014,FLake
2015,18.651,236,0,0,18.651,236,0.0070283,33,NA,NA,NA,NA,NA,NA,NA,p0014,FLake
2011,24.264,191,1.3375,364,17.735,251,1.3375,364,NA,NA,NA,NA,NA,NA,NA,p0015,FLake
2012,22.819,210,0,9,15.195,257,0.018847,346,138,138,138,119,257,119,257,p0015,FLake
2013,22.196,189,0,0,22.196,189,0.30418,0,1,0.4,2,175,176,158,207,p0015,FLake
2014,26.583,206,0,17,20.175,231,0.014272,17,91,46.5,93,140,231,119,231,p0015,FLake
2015,21.501,185,0,0,21.342,222,0.019438,21,1,0.5,2,185,186,173,196,p0015,FLake
2011,22.496,191,1.2352,364,16.853,251,1.2352,364,NA,NA,NA,NA,NA,NA,NA,p0016,FLake
2012,21.056,211,0,9,18.103,239,0.01192,8,79,43,86,160,239,146,239,p0016,FLake
2013,20.793,218,0,0,20.793,218,0.33945,0,4,2,4,207,211,176,211,p0016,FLake
2014,23.884,209,0,16,23.525,217,0,359,10,2.83333333333333,17,140,150,140,212,p0016,FLake
2015,19.949,221,0,0,19.941,222,0.0063776,46,NA,NA,NA,NA,NA,NA,NA,p0016,FLake
2011,18.185,212,1.0251,364,18.185,212,1.0251,364,NA,NA,NA,NA,NA,NA,NA,p0017,FLake
2012,16.707,219,0,8,16.707,219,0.011496,8,NA,NA,NA,NA,NA,NA,NA,p0017,FLake
2013,17.063,219,0,0,17.063,219,0.34426,0,NA,NA,NA,NA,NA,NA,NA,p0017,FLake
2014,19.5,217,0,16,19.5,217,0.007855,16,6,5,10,140,146,140,213,p0017,FLake
2015,16.458,238,0,0,16.458,238,0,32,10,10,10,183,193,183,193,p0017,FLake
2011,24.022,191,1.3204,364,17.664,251,1.3204,364,NA,NA,NA,NA,NA,NA,NA,p0018,FLake
2012,22.268,210,0,9,19.67,235,0.019345,345,76,42,84,159,235,145,235,p0018,FLake
2013,22.025,189,0,0,22.025,189,0.32503,0,5,1.2,6,206,211,158,211,p0018,FLake
2014,26.352,206,0,17,20.066,231,0.014184,17,91,46,92,140,231,119,231,p0018,FLake
2015,21.273,185,0,0,21.273,185,0.0019856,3,1,0.333333333333333,1,195,196,182,196,p0018,FLake
2011,20.471,189,1.1154,364,15.753,250,1.1154,364,113,113,113,137,250,137,250,p0019,FLake
2012,18.363,211,0,8,18.363,211,0.008074,8,3,3,3,146,149,146,149,p0019,FLake
2013,18.716,218,0,0,18.716,218,0.34473,0,NA,NA,NA,NA,NA,NA,NA,p0019,FLake
2014,21.418,217,0,16,21.418,217,0.0069447,16,NA,NA,NA,NA,NA,NA,NA,p0019,FLake
2015,17.93,236,0,0,17.93,236,0.0038891,45,NA,NA,NA,NA,NA,NA,NA,p0019,FLake
2011,21.898,191,1.0227,364,8.794,289,2.3385,355,151,151,151,137,288,137,288,p0020,FLake
2012,20.539,211,0,1,12.026,268,1.8475,104,131,131,131,137,268,137,268,p0020,FLake
2013,20.758,219,0,0,12.929,268,2.1347,117,123,123,123,145,268,145,268,p0020,FLake
2014,23.434,217,0,0,13.274,269,3.4816,0,135,135,135,134,269,134,269,p0020,FLake
2015,20.246,236,0,0,11.447,279,2.4015,350,153,153,153,126,279,126,279,p0020,FLake
2011,23.644,191,1.3267,364,15.821,257,1.3267,364,NA,NA,NA,NA,NA,NA,NA,p0021,FLake
2012,22.157,210,0,9,13.538,263,0.018336,346,143,143,143,120,263,120,263,p0021,FLake
2013,21.454,218,0,0,21.454,218,0.3162,0,1,0.25,1,175,176,154,207,p0021,FLake
