datetime,Uwind_meterPerSecond,Vwind_meterPerSecond,Surface_Level_Barometric_Pressure_pascal,Air_Temperature_celsius,Relative_Humidity_percent,Precipitation_meterPerSecond,Longwave_Radiation_Downwelling_wattPerMeterSquared,Shortwave_Radiation_Downwelling_wattPerMeterSquared
1979-01-01,2.34338593482971,-2.57643413543701,102290.2421875,-24.388708496094,78.0992965698242,0,203.849029541016,11.551721572876
1979-01-02,1.51548004150391,-2.88728809356689,101981.5625,-16.107580566406,84.2538299560547,0,219.664215087891,11.2961225509644
1979-01-03,1.27564311027527,-1.53797614574432,102243.515625,-18.532598876953,96.7726745605469,0,206.424865722656,12.3869590759277
1979-01-04,1.03139507770538,-1.05897212028503,102505.8828125,-23.921957397461,98.2299118041992,0,204.982086181641,12.0295839309692
1979-01-05,0.853066205978394,-0.351780593395233,102548.46875,-20.381048583984,98.2271118164062,0,232.359680175781,8.35144805908203
1979-01-06,0.253151625394821,2.30015277862549,101552.28125,-10.343237304688,95.534797668457,3.2425596145913e-09,260.494445800781,5.22349739074707
1979-01-07,4.65130233764648,3.84052109718323,99817.609375,-0.759741210937989,77.5583877563477,3.61803449777654e-09,252.475463867188,7.98547410964966
1979-01-08,3.47794008255005,1.32958281040192,100034.875,-5.15393676757799,80.782470703125,0,226.480743408203,12.9988231658936
1979-01-09,2.54818153381348,0.865449547767639,99937.3046875,-10.304296875,92.2738876342773,0,217.212783813477,12.8737983703613
1979-01-10,-0.154110237956047,0.00802665948867798,99376.96875,-11.760076904297,94.2634658813477,3.2971602195175e-09,248.500122070312,8.0217113494873
1979-01-11,-2.56720018386841,-1.13697421550751,99151.40625,-9.09332885742197,98.2346038818359,1.51889616972767e-08,257.969757080078,4.18320560455322
1979-01-12,-1.73433792591095,-2.59915590286255,100039.46875,-8.86102905273395,92.9870529174805,3.3893957152031e-09,255.160491943359,5.4724326133728
1979-01-13,0.38811257481575,-2.55519008636475,100601.6875,-11.084722900391,89.9407348632812,0,241.114959716797,7.37439489364624
1979-01-14,1.46348810195923,-1.59265613555908,102319.59375,-14.497839355469,97.9068832397461,0,221.294647216797,14.528883934021
1979-01-15,1.28461408615112,-1.21617698669434,103447.859375,-17.470190429688,97.4825897216797,0,220.500091552734,16.0848331451416
1979-01-16,0.70031201839447,1.13607847690582,103268.5234375,-12.648046875,96.3254852294922,2.3059465092956e-09,252.698181152344,6.87191438674927
1979-01-17,0.496656268835068,-0.211709320545197,103407.3984375,-9.92856445312498,98.6541061401367,0,239.938446044922,13.8379592895508
1979-01-18,0.291860580444336,-1.65153872966766,103992.0390625,-9.74814453124998,98.6488952636719,0,242.905990600586,14.6971235275269
1979-01-19,-0.495304197072983,-0.613773465156555,104064.3828125,-8.42343749999998,97.1239776611328,0,257.91796875,10.7321443557739
1979-01-20,0.205669954419136,-0.905461668968201,103726.90625,-10.762060546875,96.4762268066406,0,236.782150268555,16.8912200927734
1979-01-21,-0.31459629535675,-0.656446039676666,103883.8046875,-11.818914794922,97.9865417480469,0,246.157943725586,11.225438117981
1979-01-22,0.883151113986969,-0.765344202518463,102862.375,-14.259313964844,97.0998764038086,0,238.017028808594,13.6672744750977
1979-01-23,0.580517411231995,-0.484093248844147,101655.9296875,-13.616796875,96.4829788208008,0,235.662307739258,12.5858163833618
1979-01-24,-0.216807842254639,-0.963605284690857,100427.109375,-12.992224121094,96.6521377563477,0,250.834335327148,10.5182075500488
1979-01-25,-1.29624760150909,-0.0963917970657349,99841.109375,-15.860052490234,98.4874877929688,0,238.197494506836,13.7118854522705
1979-01-26,0.567383170127869,-1.23026263713837,99612.0078125,-21.567007446289,97.1940383911133,0,210.427108764648,22.2807559967041
1979-01-27,1.67725479602814,-0.852536618709564,99609.8125,-21.954473876953,92.5222015380859,0,204.540924072266,26.7618465423584
1979-01-28,0.998831927776337,-0.380367517471313,100168.3359375,-19.025213623047,91.0758056640625,0,239.211700439453,14.6870288848877
1979-01-29,0.578039288520813,-0.279782205820084,100939.875,-16.691931152344,92.9296722412109,0,237.130447387695,13.0670471191406
1979-01-30,0.862384080886841,-1.44556510448456,101190.5546875,-16.875311279297,95.8154296875,0,221.94450378418,23.5604648590088
1979-01-31,1.24902760982513,-1.20213758945465,100681.78125,-18.270254516602,89.6708526611328,0,221.427780151367,26.4054183959961
1979-02-01,-0.645778477191925,0.180518016219139,99181.015625,-13.806402587891,89.8223876953125,0,244.921447753906,16.9648456573486
1979-02-02,1.90187585353851,-0.991776645183563,98720.5703125,-13.481176757812,93.1032791137695,0,224.002059936523,29.3006210327148
1979-02-03,0.780356824398041,-2.86396598815918,98206.2890625,-14.752722167969,86.9336318969727,0,231.481781005859,12.3411874771118
1979-02-04,2.4980731010437,-0.678613603115082,99072.40625,-12.292761230469,88.1715240478516,0,209.259918212891,35.8231201171875
1979-02-05,2.83346819877625,-1.43087911605835,99749.046875,-12.708044433594,92.2574844360352,0,210.823059082031,37.5632057189941
1979-02-06,2.49732971191406,-0.627397239208221,100997.1640625,-11.528601074219,92.6346740722656,0,222.067932128906,33.5374641418457
1979-02-07,1.13711357116699,2.59807538986206,100110.6484375,-8.98596801757799,93.0477828979492,0,251.98161315918,19.1074028015137
1979-02-08,2.00804042816162,-2.4867479801178,99729.609375,-7.80725708007799,77.9159088134766,0,218.350830078125,44.3203086853027
1979-02-09,4.08989858627319,-2.80633020401001,99851.515625,-8.09396972656197,65.7511444091797,0,208.232971191406,46.1050453186035
1979-02-10,2.82043290138245,-1.76099109649658,100398.2890625,-8.763677978516,79.4073791503906,0,209.716049194336,46.920654296875
