year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,par_id,model
2013,23.942,200,5.1348,27,12.805,295,5.1348,27,143,143,143,144,287,144,287,p0010,FLake
2014,22.162,205,4.9651,44,11.408,299,4.9651,44,191,191,191,103,294,103,294,p0010,FLake
2009,5.0466,364,5.0466,364,5.0466,364,5.0466,364,NA,NA,NA,NA,NA,NA,NA,p0011,FLake
2010,21.131,167,3.2225,359,11.463,299,3.2225,359,190,190,190,105,295,105,295,p0011,FLake
2011,21.866,193,3.1035,8,10.297,317,3.1035,8,228,228,228,81,309,81,309,p0011,FLake
2012,20.97,222,6.0285,33,12.742,135,6.0149,36,134,46.3333333333333,139,143,277,126,277,p0011,FLake
2013,24.991,200,5.2652,27,13.714,288,5.2652,27,142,142,142,142,284,142,284,p0011,FLake
2014,23.118,205,5.13,44,11.286,305,5.13,44,201,201,201,96,297,96,297,p0011,FLake
2009,4.6341,364,4.6341,364,4.6341,364,4.6341,364,NA,NA,NA,NA,NA,NA,NA,p0012,FLake
2010,17.968,195,2.5282,358,8.3032,317,2.7646,360,201,201,201,109,310,109,310,p0012,FLake
2011,17.71,193,2.4385,10,9.1546,328,2.7781,7,210,210,210,98,308,98,308,p0012,FLake
2012,17.175,226,5.6323,352,10.449,286,5.6323,352,134,134,134,144,278,144,278,p0012,FLake
2013,21.189,202,4.6795,89,8.6905,312,4.6795,89,181,181,181,125,306,125,306,p0012,FLake
2014,19.309,205,4.5852,44,9.1799,316,4.5852,44,200,200,200,107,307,107,307,p0012,FLake
2009,4.427,364,4.427,364,4.427,364,4.427,364,NA,NA,NA,NA,NA,NA,NA,p0013,FLake
2010,16.703,195,2.2275,358,9.0322,310,2.5135,360,167,56.6666666666667,170,130,297,127,299,p0013,FLake
2011,15.689,207,2.1995,10,10.303,303,2.5682,7,178,178,178,113,291,113,291,p0013,FLake
2012,15.615,226,5.3851,352,10.055,285,5.3851,352,130,130,130,147,277,147,277,p0013,FLake
2013,19.492,202,3.9345,93,8.7806,310,3.9345,93,166,166,166,139,305,139,305,p0013,FLake
2014,17.063,205,4.3748,46,9.2534,312,4.3748,46,192,192,192,113,305,113,305,p0013,FLake
2009,5.0417,364,5.0417,364,5.0417,364,5.0417,364,NA,NA,NA,NA,NA,NA,NA,p0014,FLake
2010,22.596,171,3.4558,359,8.8553,320,3.4558,359,230,230,230,83,313,83,313,p0014,FLake
2011,22.952,193,3.2805,8,9.2063,333,3.2805,8,248,248,248,78,326,78,326,p0014,FLake
2012,22.436,222,6.1345,33,10.849,300,6.1175,36,206,206,206,84,290,84,290,p0014,FLake
2013,26.579,200,5.4119,27,11.721,303,5.4119,27,188,188,188,113,301,113,301,p0014,FLake
2014,24.026,205,5.2609,44,9.9364,317,5.2609,44,221,221,221,89,310,89,310,p0014,FLake
2009,5.4273,364,5.4273,364,5.4273,364,5.4273,364,NA,NA,NA,NA,NA,NA,NA,p0015,FLake
2010,23.321,171,4.0699,16,7.6131,330,4.0399,16,233,233,233,85,318,85,318,p0015,FLake
2011,22.929,194,2.8752,31,6.9331,343,3.7582,39,255,255,255,79,334,79,334,p0015,FLake
2012,22.634,223,5.4721,33,8.0688,327,5.4545,36,236,236,236,73,309,73,309,p0015,FLake
