Pearson_r,Variance_obs,Variance_mod,SD_obs,SD_mod,Covariance,Bias,MAE,RMSE,NSE,lnlikelihood,par_id,model
0.925169752641496,17.9089510285983,20.569351253592,4.23198728744476,4.53544157974324,17.7568856221001,0.186299653846154,1.11087014102564,1.7318309960886,0.832528516370174,-56594.2532854443,p0001,Simstrat
0.903298130608098,17.9089510285983,18.7402704189527,4.23198728744476,4.32909590092856,16.5483277048317,-1.20412614957265,1.98640196153846,2.23662375512115,0.720671198777422,-80032.2457940643,p0002,Simstrat
0.909754047389001,17.9089510285983,17.0269673129805,4.23198728744476,4.12646277000698,15.8864815232882,-2.76931824529915,3.05727033931624,3.29121236609688,0.395158386359335,-148238.484090353,p0003,Simstrat
0.784382577515866,17.9089510285983,27.6106463957517,4.23198728744476,5.25469565135151,17.4422015327806,-0.207241623931624,2.65790688888889,3.26774286771139,0.40375383056065,-146437.440035889,p0004,Simstrat
0.909649699570302,17.9089510285983,16.4252812903683,4.23198728744476,4.052898130408,15.601475116536,-3.26609524017094,3.44772254786325,3.71465478931243,0.229510417347888,-182947.486061002,p0005,Simstrat
0.691285308544415,17.9089510285983,38.6801159359847,4.23198728744476,6.21946693881687,18.1943391215992,0.0418309188034188,3.84476050854701,4.49467891480054,-0.128047003696216,-257868.182678674,p0006,Simstrat
0.933013693210946,17.9089510285983,16.4298760306084,4.23198728744476,4.05346496124853,16.0044308866157,-2.48462083760684,2.49031652136752,2.91604286536486,0.525192403560286,-120991.841790939,p0007,Simstrat
0.722516122195046,17.9089510285983,31.9075730923968,4.23198728744476,5.64879958240432,17.2714779785638,-0.721379264957265,3.22295047008547,3.97416106968223,0.118097079915129,-206292.449307989,p0008,Simstrat
0.921326128253316,17.9089510285983,22.5564537224574,4.23198728744476,4.74946499246677,18.5175647974415,1.66525011965812,1.83085164957265,2.4906491357062,0.653618288012062,-94082.1591481593,p0009,Simstrat
0.92807427258993,17.9089510285983,16.2090532810543,4.23198728744476,4.02613288469749,15.8123578023052,-2.92602288247863,3.08602057478632,3.32489076720285,0.382716575852067,-150845.47545881,p0010,Simstrat
0.908105174996175,17.9089510285983,16.9679271071299,4.23198728744476,4.11930240006842,15.8301715007574,-2.75209005299145,3.05620325811966,3.2848949441326,0.397478122713228,-147752.418766648,p0011,Simstrat
0.902585518435203,17.9089510285983,19.5718883106078,4.23198728744476,4.42410722653017,16.8981748672482,-0.635454508547008,1.65392057692308,2.02195253088254,0.771717950950124,-69336.1785115543,p0012,Simstrat
0.88951831101385,17.9089510285983,23.6004195251607,4.23198728744476,4.85813010665633,18.2873100696967,2.16004863247863,2.34694356410256,3.09847712740282,0.463923906335575,-133829.719632739,p0013,Simstrat
0.905903093071309,17.9089510285983,19.7389580156592,4.23198728744476,4.44294965050517,17.0325208246001,-0.540791042735043,1.57124030769231,1.96858384300995,0.78360975242093,-66844.4331364193,p0014,Simstrat
0.900558144871845,17.9089510285983,23.434771747347,4.23198728744476,4.84105084419896,18.4491854692968,2.10024201709402,2.25663066666667,2.97596511533969,0.505478106809476,-125122.671579299,p0015,Simstrat
0.897161303570897,17.9089510285983,21.4505972608536,4.23198728744476,4.63157791602611,17.5843088160235,0.732988623931624,1.37152224786325,2.1744431425581,0.735986603979897,-76823.1365455393,p0016,Simstrat
0.907472392948251,17.9089510285983,16.8267364017691,4.23198728744476,4.10212817008441,15.7531874929551,-2.85073601666667,3.13787705940171,3.36986769490697,0.36590321437344,-154368.458566768,p0017,Simstrat
0.897082382481962,17.9089510285983,23.1966551354227,4.23198728744476,4.81639351463693,18.284373542713,1.9412710982906,2.13699043162393,2.88190779790982,0.53624349397177,-118676.254578134,p0018,Simstrat
0.906005919357019,17.9089510285983,18.7005711824703,4.23198728744476,4.32450810917646,16.5803443279993,-1.29839705128205,2.02639538461538,2.26598068346751,0.713290384811011,-81578.7826338093,p0019,Simstrat
0.823286302844719,17.9089510285983,18.5990337668073,4.23198728744476,4.31275186293841,15.0255769140406,-3.22141582478632,3.23923422649573,4.10296854527403,0.0600035224494261,-218465.067014034,p0020,Simstrat
0.919009478232846,17.9089510285983,22.2958507040746,4.23198728744476,4.72194912710075,18.3639917411286,1.42263861538462,1.64834786324786,2.34536114071994,0.692850861470602,-85861.5725776593,p0021,Simstrat
0.911892325149519,17.9089510285983,17.2876019668602,4.23198728744476,4.157925057627,16.0452324187951,-2.51679989529915,2.84705408333333,3.07251848991117,0.472868631123569,-131955.489165887,p0022,Simstrat
0.888914729232906,17.9089510285983,14.877727603914,4.23198728744476,3.85724816824263,14.5098685624813,-3.90504385384615,3.90504385384615,4.3607693137807,-0.0618326543885697,-243993.977070723,p0023,Simstrat
0.91421173452775,17.9089510285983,22.7899293426109,4.23198728744476,4.77398191375271,18.4694241618265,0.850896217948718,1.73530884188034,2.11755907149615,0.749619259435397,-73966.6218059143,p0024,Simstrat
0.945939596465352,17.9089510285983,21.2221833559589,4.23198728744476,4.60685254003544,18.4413839869312,0.864324581196581,1.18471979487179,1.73072915048992,0.832741549877921,-56549.6153675493,p0025,Simstrat
0.908805835947398,17.9089510285983,17.5236951492271,4.23198728744476,4.18622073678548,16.0997460734349,-2.29713231111111,2.70317925982906,2.91718543903303,0.524820249264347,-121069.821039754,p0026,Simstrat
0.906344315613807,17.9089510285983,17.0075741723416,4.23198728744476,4.12411214964053,15.8179237088413,-2.59487368760684,2.94515907222222,3.16449794404919,0.440835634543844,-138667.51436032,p0027,Simstrat
