Pearson_r,Variance_obs,Variance_mod,SD_obs,SD_mod,Covariance,Bias,MAE,RMSE,NSE,lnlikelihood,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,model
0.906638443082926,19.5236840049477,19.147871022276,4.41871866945412,4.37598388112863,17.5297313999761,-0.940501573469564,1.47509551892253,2.12052716015857,0.769683045687964,-44468.2777737242,-0.548199844360352,-0.2,-0.199600076675415,44.4,-6.3672004699707,36.6,0.020259952545166,44.6,NA,NA,NA,NA,NA,NA,NA,flake
0.902282614665886,17.9089510127667,27.5561846780151,4.23198728557422,5.24951067653667,20.0441298247955,1.13519688938673,1.74935624466747,2.58177226316809,0.627809132198059,-99490.0734976993,0.719939422607422,-9.6,-1.89865875244141,2.4,4.28866806030273,-21.2,-0.636236763000488,-0.2,-68.4,-29.5826544972056,-70,18.6,-49.8,12.6,-11.4,glm
0.941810064073657,17.9089510127667,20.8164409486071,4.23198728557422,4.56260129510775,18.1845115738501,-0.0260496000245087,1.06741316001639,1.53526785784603,0.868387188414617,-49080.6162024103,0.160143280029297,-4.6,-0.546378040313721,44.6,1.81430130004883,-8.4,-0.515928220748901,42.4,-31,-17.4333333333333,-42.6,3,-28,17.2,-13.4,gotm
0.931788662012727,17.9089510127667,23.3616225855247,4.23198728557422,4.8334895249841,19.0591706080197,1.18013751672883,1.38515584722543,2.13189046168956,0.746218696036247,-74679.1578825115,0.533200454711914,-4.6,-0.235379981994629,0,3.46580009460449,-11.2,-0.00113992691040039,-0.2,-30.6,-18.115873015873,-40.8,-13.2,-43.8,7.2,-28,simstrat
