year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2014,26.0400009155273,205,0.0410000011324883,94,7.61100006103516,280,3.48900008201599,323,140,71.5,143,135,275,135,279,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2015,24.25,185,0.137999996542931,100,8.73999977111816,273,3.29200005531311,314,140,140,140,133,273,133,273,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2016,22.3799991607666,205,0.068000003695488,93,6.03200006484985,282,2.63299989700317,305,149,149,149,130,279,130,279,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,13.3076066970825,246,-0.143571734428406,328,12.3446178436279,239,5.60519385729927e-45,364,4,2,6,244,248,244,258,NA,NA,NA,NA,NA,NA,NA,0.581939935684204,59,gotm
2015,19.3786716461182,185,-0.123731032013893,322,14.475772857666,189,-0.0657942667603493,322,20,4.05882352941176,69,169,189,144,253,154,154,154,-36,118,-36,118,0.787600040435791,66,gotm
2016,18.381856918335,205,0,0,16.1305084228516,211,0,0,35,8.3,83,146,181,146,260,172,172,172,-42,130,-42,130,NA,NA,gotm
