year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,MeanIceDur,MaxIceDur,TotIceDur,IceOn,IceOff,FirstFreeze,LastThaw,HiceMax,HiceMaxDay,model
2014,26.0400009155273,205,0.0410000011324883,94,7.61100006103516,280,3.48900008201599,323,140,71.5,143,135,275,135,279,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2015,24.25,185,0.137999996542931,100,8.73999977111816,273,3.29200005531311,314,140,140,140,133,273,133,273,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2016,22.3799991607666,205,0.068000003695488,93,6.03200006484985,282,2.63299989700317,305,149,149,149,130,279,130,279,NA,NA,NA,NA,NA,NA,NA,0,NA,obs
2014,13.0579996109009,239,0.399987816810608,328,13.0579996109009,239,3.76139998435974,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.613359987735748,75,flake
2015,17.4619998931885,185,0.158725798130035,320,17.2859992980957,186,3.80590009689331,301,NA,NA,NA,NA,NA,NA,NA,163,163,163,-37,126,-37,126,0.744660019874573,62,flake
2016,17.8120002746582,180,0.342101335525513,103,11.3979997634888,265,3.83780002593994,307,124,124,124,141,265,141,265,173,173,173,-44,129,-44,129,NA,NA,flake
